same_total,plus_25_percent,plus_extra_budget
52388.08722754696,90456.28477514768,62738.56062613125
34824.982842079364,54492.62648849166,40269.90354392491
75363.32164949452,114057.26935833617,84751.17788466503
55505.55415302981,94875.36495171674,66098.59062264254
68417.29719442036,109825.13724235399,79291.28881733096
41516.97677842196,65688.70602241252,47633.008478904434
49566.462657987955,75416.29724477441,56185.05026959849
48657.503789031296,79810.14457013505,56983.036246713484
60570.83451234625,89907.46290433308,67957.12370627903
55845.76049699995,80379.96202457463,61432.891353961546
80145.92069404572,125466.70035796997,91499.8442458018
39144.1798326578,71176.4741846018,48328.49553056748
51668.07391472906,88348.63640642702,61589.283994140336
49059.90597133787,80171.4127781358,56907.06888288184
70162.93193941494,117391.4182544772,81985.47729421308
73132.63150969171,114774.76355686161,83630.81313005963
76965.37550135178,126722.54741230619,89814.76161146583
65341.41867005621,117216.55686818744,79224.87173423165
121052.01820353826,179795.88060374372,135277.30034442886
37714.84376603775,65018.27236019165,44705.194797426346
52209.864481965546,106898.09998522326,68459.80113085243
42616.05826148676,71686.01729668857,50345.53484731936
51888.502427432686,84906.79108943918,60684.42833718611
57581.12245336303,123559.96817106626,75722.8017728097
68651.95943786699,103852.53691742272,77197.74011339032
22937.943127930863,49234.307988868095,30666.061048326665
60742.195440789685,104834.95090144424,72042.41517116991
64638.835475509404,111800.90160244901,77317.79874738539
63718.616171687085,111631.9191078716,76477.60774618358
44668.42445285921,76598.62184948009,52719.82750694046
77145.25978640205,127557.37760050828,89625.4953212851
106882.73243390943,156718.08537509607,119165.96643688681
52609.33398606579,84232.96755868357,60577.09531003013
67544.31167511479,117648.11743327451,81036.52817499812
71037.65406759467,105565.4978872441,79435.25030616747
72936.84322293958,116172.64932703337,83550.95656981441
73895.28540618066,110188.93244528124,82448.58755585313
68605.65513793891,100368.78648591822,76014.14775519003
61968.484186643036,89671.73553375498,68439.67391514644
35591.23027838388,67472.52188580233,44375.38207602716
80255.79710287915,125765.5618993871,91272.16113974963
59698.16474418447,100343.2513356749,70740.02910294454
68632.02109934413,105716.32854796888,78076.98395772668
82210.19551817107,130319.73142237222,93993.69142858108
53817.91026171413,80597.0956940212,60261.28324088757
79561.6683113908,124824.34685540217,90951.019760455
64679.400662856584,100193.47274840274,73669.03634736128
61752.944082866714,92218.44003966049,69276.73397188849
40153.348147514975,68885.03129111696,47434.78433049831
38366.26054649509,70375.33060031233,46767.93729091564
38832.87179509894,66898.35267685435,46066.60295327171
129580.26240581484,206134.28342297557,147366.68020729953
67678.64706578705,107532.22121226555,77814.91398749122
122672.94607913191,182530.226587823,137125.52247730608
70309.49117377389,110840.53095092089,80733.508025232
50890.0499299324,72005.5998185426,55785.426648837456
55686.300889043836,79807.29129340779,61684.54924201034
68814.79032479704,107124.25077661616,78122.0556371382
42136.30259067152,70197.44825253147,49371.97156858054
57376.96560879302,94848.90605794842,67179.6657229843
